ZIP,count,Total,percent_male,MedianAge,percentCollegeDegree,MedianIncome,percent_own
10455,,38576,0.465522605,28.7,2.5,22242,0.07771394
10035,,33488,0.482172719,34.2,11.1,32495,0.078444032
90038,1,29836,0.502781874,32.5,16,23711,0.078672199
10009,,62810,0.459194396,36.3,43.9,53644,0.078674108
94102,12,25881,0.580734902,43.3,23,31216,0.079976611
10037,,17377,0.403694539,37.6,11.3,38276,0.080544057
90021,3,2940,0.708843537,47.6,4.5,23964,0.081779916
75201,6,10213,0.54969157,31.2,69.7,54082,0.081851674
44115,,7502,0.447347374,23.5,12.8,21875,0.082046624
18101,,4739,0.613842583,30.7,1.6,13447,0.083563536
51101,,716,0.63547486,46.6,42.9,17668,0.084541063
01105,,12360,0.49579288,26.6,0.6,21438,0.084780811
48201,2,11748,0.52340824,33.7,21.7,26424,0.085449984
63106,,11736,0.387695978,25.2,2.5,19379,0.086983993
95814,31,9802,0.618955315,35.5,15.2,38361,0.087172359
46556,,7027,0.500071154,20.2,6.2,15357,0.089005236
10034,1,41510,0.508022163,36.5,9.4,25329,0.089597114
10460,1,56084,0.470330219,30,2.4,23877,0.089868256
01901,,2023,0.358872961,42.8,0,35328,0.090328467
90020,,39866,0.49831937,34.8,18.1,25551,0.090539228
94612,6,13816,0.517660683,40.4,20.4,35580,0.092467067
79401,1,7092,0.563874788,22.5,7.4,20625,0.09292328
07102,,12922,0.562993345,30.1,9,30059,0.093207298
10468,,71822,0.472960931,32,6.5,25162,0.093623311
21862,,441,0.77324263,52.2,0,57574,0.094017094
10459,,47977,0.474143861,28.6,2.1,24187,0.094143618
94108,11,13709,0.502808374,44.4,33.7,31670,0.094154095
49074,,208,0.110576923,76.7,0,57386,0.094339623
23219,2,3284,0.462241169,25.4,15.9,31757,0.094670407
18503,1,1141,0.637160386,53.7,0,9415,0.09496124
06510,4,2577,0.530461777,28.5,33.5,41829,0.095010253
93721,1,6445,0.599534523,33.4,4.2,16042,0.095699576
78215,1,1155,0.65974026,39.9,36.4,23232,0.095890411
32079,,293,0.324232082,81.2,,5385,0.096153846
14168,,104,0.394230769,16.7,,11563,0.096774194
10040,,44825,0.452872281,37,15.9,28744,0.096854942
91502,5,11420,0.458143608,36.8,9.3,34233,0.097318163
55454,1,7331,0.532123858,22.2,9.2,16952,0.097560976
90029,1,40208,0.519622961,34.4,9.8,22810,0.098177417
97204,8,1387,0.831290555,41.1,0,8246,0.098298677
90014,1,6008,0.618175766,43.6,18.7,35522,0.098581213
37916,1,12677,0.518892482,20.8,4.3,30581,0.099568434
11237,,55478,0.513014168,29.1,15,25060,0.1009509
17101,1,1928,0.533713693,41.8,36.5,29659,0.101211689
02120,,14221,0.477884818,23.4,22.3,33186,0.102925005
10036,8,23132,0.581532077,38.2,56.6,62518,0.103298735
44114,,5130,0.513450292,32.9,22.5,31818,0.103703704
21650,,69,0.695652174,48.4,,63654,0.104166667
22060,,9757,0.516552219,26.9,13.6,51182,0.104369809
33128,1,7458,0.532448378,40.7,3.9,19073,0.104642594
11206,,81525,0.485274456,28.5,16.9,26421,0.104930423
