UA,UANAME,ZCTA5
99999,Not in a 2010 urban area,47162
20449,"Corydon, IN Urban Cluster",47161
99999,Not in a 2010 urban area,47161
99999,Not in a 2010 urban area,47160
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",47150
99999,Not in a 2010 urban area,47150
99999,Not in a 2010 urban area,47147
99999,Not in a 2010 urban area,47145
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",47143
99999,Not in a 2010 urban area,47143
99999,Not in a 2010 urban area,47142
99999,Not in a 2010 urban area,47141
99999,Not in a 2010 urban area,47140
99999,Not in a 2010 urban area,47138
99999,Not in a 2010 urban area,47137
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",47136
99999,Not in a 2010 urban area,47136
99999,Not in a 2010 urban area,47135
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",47130
99999,Not in a 2010 urban area,47130
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",47129
99999,Not in a 2010 urban area,47126
99999,Not in a 2010 urban area,47125
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",47124
99999,Not in a 2010 urban area,47124
99999,Not in a 2010 urban area,47123
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",47122
99999,Not in a 2010 urban area,47122
99999,Not in a 2010 urban area,47120
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",47119
99999,Not in a 2010 urban area,47119
99999,Not in a 2010 urban area,47118
99999,Not in a 2010 urban area,47117
99999,Not in a 2010 urban area,47116
99999,Not in a 2010 urban area,47115
99999,Not in a 2010 urban area,47114
20449,"Corydon, IN Urban Cluster",47112
99999,Not in a 2010 urban area,47112
15535,"Charlestown, IN Urban Cluster",47111
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",47111
99999,Not in a 2010 urban area,47111
99999,Not in a 2010 urban area,47110
99999,Not in a 2010 urban area,47108
99999,Not in a 2010 urban area,47106
99999,Not in a 2010 urban area,47104
80119,"Scottsburg, IN Urban Cluster",47102
99999,Not in a 2010 urban area,47102
16885,"Cincinnati, OH--KY--IN Urbanized Area",47060
37145,"Harrison, OH--IN Urban Cluster",47060
99999,Not in a 2010 urban area,47060
99999,Not in a 2010 urban area,47043
99999,Not in a 2010 urban area,47042
99999,Not in a 2010 urban area,47041
99999,Not in a 2010 urban area,47040
99999,Not in a 2010 urban area,47038
99999,Not in a 2010 urban area,47037
5572,"Batesville, IN Urban Cluster",47036
99999,Not in a 2010 urban area,47036
99999,Not in a 2010 urban area,47035
99999,Not in a 2010 urban area,47034
99999,Not in a 2010 urban area,47032
99999,Not in a 2010 urban area,47031
99999,Not in a 2010 urban area,47030
16885,"Cincinnati, OH--KY--IN Urbanized Area",47025
48313,"Lawrenceburg--Greendale--Aurora, IN Urban Cluster",47025
99999,Not in a 2010 urban area,47025
99999,Not in a 2010 urban area,47024
99999,Not in a 2010 urban area,47023
99999,Not in a 2010 urban area,47022
99999,Not in a 2010 urban area,47020
99999,Not in a 2010 urban area,47018
99999,Not in a 2010 urban area,47017
99999,Not in a 2010 urban area,47016
99999,Not in a 2010 urban area,47012
99999,Not in a 2010 urban area,47011
99999,Not in a 2010 urban area,47010
5572,"Batesville, IN Urban Cluster",47006
99999,Not in a 2010 urban area,47006
99999,Not in a 2010 urban area,47003
48313,"Lawrenceburg--Greendale--Aurora, IN Urban Cluster",47001
99999,Not in a 2010 urban area,47001
99999,Not in a 2010 urban area,46998
95968,"Winamac, IN Urban Cluster",46996
99999,Not in a 2010 urban area,46996
99999,Not in a 2010 urban area,46994
91000,"Wabash, IN Urban Cluster",46992
99999,Not in a 2010 urban area,46992
99999,Not in a 2010 urban area,46991
99999,Not in a 2010 urban area,46990
89704,"Upland, IN Urban Cluster",46989
99999,Not in a 2010 urban area,46989
99999,Not in a 2010 urban area,46988
54577,"Marion, IN Urban Cluster",46987
99999,Not in a 2010 urban area,46987
99999,Not in a 2010 urban area,46986
99999,Not in a 2010 urban area,46985
99999,Not in a 2010 urban area,46984
99999,Not in a 2010 urban area,46982
45694,"Kokomo, IN Urbanized Area",46979
99999,Not in a 2010 urban area,46979
99999,Not in a 2010 urban area,46978
75610,"Rochester, IN Urban Cluster",46975
99999,Not in a 2010 urban area,46975
99999,Not in a 2010 urban area,46974
35716,"Grissom AFB, IN Urban Cluster",46970
68806,"Peru, IN Urban Cluster",46970
99999,Not in a 2010 urban area,46970
99999,Not in a 2010 urban area,46968
99999,Not in a 2010 urban area,46967
63784,"North Manchester, IN Urban Cluster",46962
99999,Not in a 2010 urban area,46962
99999,Not in a 2010 urban area,46961
99999,Not in a 2010 urban area,46960
99999,Not in a 2010 urban area,46959
99999,Not in a 2010 urban area,46958
99999,Not in a 2010 urban area,46957
54577,"Marion, IN Urban Cluster",46953
99999,Not in a 2010 urban area,46953
54577,"Marion, IN Urban Cluster",46952
99999,Not in a 2010 urban area,46952
99999,Not in a 2010 urban area,46951
99999,Not in a 2010 urban area,46950
51013,"Logansport, IN Urban Cluster",46947
99999,Not in a 2010 urban area,46947
99999,Not in a 2010 urban area,46946
99999,Not in a 2010 urban area,46943
99999,Not in a 2010 urban area,46941
99999,Not in a 2010 urban area,46940
99999,Not in a 2010 urban area,46939
