"UANUM","UANAME","Population","Latitude","Longitude","4 Week Rate","4 Week TRP","CPP","CPM"
79309,"Santa Clarita, CA",258653,34.3916667,-118.54166670000001,255338.125,156.25,417.2083333333,3.0004166667
79336,"Santa Cruz, CA",163703,36.974166700000005,-122.02972220000001,114990.576923077,149.0384615385,193.88461538459998,3.4334615385
79363,"Santa Fe, NM",89284,35.686944399999994,-105.93722220000001,26946.8125,156.25,44.0625,2.986875
79390,"Santa Isabel, PR",10550,17.9680556,-66.4052778,7500.0,400.0,19.0,6.0
79417,"Santa Maria, CA",130447,34.953055600000006,-120.43472220000001,6351.75,700.0,10.0,7.75
79444,"Santa Paula, CA",29742,34.3541667,-119.05833329999999,255338.125,156.25,417.2083333333,3.0004166667
79537,"Santa Rosa Beach, FL",4512,30.3958333,-86.22888890000002,8852.222222222199,933.3333333333001,9.6666666667,4.5555555556
79498,"Santa Rosa, CA",308231,38.4405556,-122.71333329999999,3712.3333333333003,466.6666666667,10.0,15.0
79525,"Santa Rosa, NM",2621,34.9386111,-104.6819444,1700.0,500.0,3.5,6.5
79471,"Santaquin, UT",9936,39.97555560000001,-111.78444440000001,8966.6666666667,266.6666666667,34.6666666667,6.666666666699999
79552,"Santo Domingo Pueblo, NM",2567,35.5147222,-106.36527779999999,26946.8125,156.25,44.0625,2.986875
79579,"Saranac Lake, NY",7698,44.32944439999999,-74.1316667,2478.5714285714002,457.1428571429,5.8571428571,7.7142857143
79606,"Sarasota--Bradenton, FL",643260,27.498611100000005,-82.575,58306.8888888889,466.6666666667,129.4444444444,3.2222222222
79633,"Saratoga Springs, NY",64100,41.0161111,-72.1597222,3830.0,466.6666666667,8.3333333333,4.0
79687,"Sauk Centre, MN",4253,45.7375,-94.95222220000001,1459.0,700.0,2.3,6.2
79714,"Sault Ste. Marie, MI",13114,46.4953,-84.34531700000001,1540.0,660.0,2.6,6.3
79741,"Savanna, IL--IA",3362,42.09444439999999,-90.1566667,4950.0,533.3333333333001,9.6666666667,6.333333333300001
79768,"Savannah, GA",260677,32.0833333,-81.1,14080.0,380.0,41.5,5.1
79795,"Savannah, MO",5138,39.9416667,-94.83,5982.1428571429005,600.0,12.142857142899999,10.5714285714
79822,"Savannah, TN",8347,35.2247222,-88.2491667,2333.3333333333,755.5555555556,3.7777777778,9.8888888889
79834,"Saw Creek, PA",5880,41.1125,-75.05111109999999,51600.0,766.6666666666999,62.8333333333,4.8333333333
79903,"Sayre--Waverly, PA--NY",17991,42.008408,-76.54254300000001,5100.0,600.0,9.0,16.0
79876,"Sayre, OK",4041,35.2911111,-99.63972220000001,600.0,200.0,3.0,9.5
79930,"Schulenburg, TX",2726,29.6816667,-96.9027778,1328.5714285714,371.4285714286,3.8571428571,10.714285714299999
